sku,title,slug,description,variant,price,stock,imageUrl,category,subcategory,brand,mpPreferenceId,externalRef,status
PHB-LOOKKEOBLADECARBON-025,LOOK KEO BLADE CARBON,look-keo-blade-carbon,,,"1.829,00",,,Equipamento,,LOOK,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/pedais-look/,draft
PHB-LOOKKEO2MAXCARBON-026,LOOK KEO 2 MAX CARBON,look-keo-2-max-carbon,,,"1.449,00",,,Equipamento,,LOOK,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/pedais-look/,draft
PHB-LOOKKEO2MAX-027,LOOK KEO 2 MAX,look-keo-2-max,,,"1.190,00",,,Equipamento,,LOOK,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/pedais-look/,draft
PHB-LOOKKEOCLASSIC3PLU-028,LOOK KEO CLASSIC 3 PLUS+,look-keo-classic-3-plus,,,"843,50",,,Equipamento,,LOOK,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/pedais-look/,draft
PHB-LOOKKEOCLASSIC3-029,LOOK KEO CLASSIC 3,look-keo-classic-3,,,"612,50",,,Equipamento,,LOOK,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/pedais-look/,draft
PHB-LUVASESPORTIVASDEC-030,Luvas Esportivas de Ciclismo Oil Slick,luvas-esportivas-de-ciclismo-oil-slick,,,"299,00",,,Equipamento,Luva,SUPACAZ,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/luvas-supacaz/,draft
PHB-CAPAPARASAPATILHAV-031,Capa para sapatilha Velotoze – Silicone,capa-para-sapatilha-velotoze-silicone,,,"290,00",,,Equipamento,Botinha,VELOTOZE,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/,draft
PHB-CAPASAPATILHALATEX-032,Capa Sapatilha Latex MTB Cano Alto Preta Tam. P,capa-sapatilha-latex-mtb-cano-alto-preta-tam-p,,,"250,00",,,Equipamento,Botinha,SCICON,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/capa-para-sapatilha/,draft
PHB-PNEUHUTCHINSONTOUA-033,Pneu Hutchinson Touareg Tlr Hardskin Tan 700mmx40 – Pv529751,pneu-hutchinson-touareg-tlr-hardskin-tan-700mmx40-pv529751,,,"551,00",,,Equipamento,,HUTCHINSON,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/,draft
PHB-PNEUHUTCHINSONTOUA-034,Pneu Hutchinson Touareg Tlr Hardskin Tan 700mmx45 – Pv529231,pneu-hutchinson-touareg-tlr-hardskin-tan-700mmx45-pv529231,,,"551,00",,,Equipamento,,HUTCHINSON,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/,draft
PHB-HUTCHINSONSKELETON-035,Hutchinson Skeleton 2.3,hutchinson-skeleton-2-3,,,"680,00",,,Equipamento,,HUTCHINSON,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/,draft
PHB-PNEUPYTHON2TLR1272-036,"Pneu Python 2 Tlr 127 29×2,25",pneu-python-2-tlr-127-29-2-25,,,"558,25",,,Equipamento,,HUTCHINSON,,https://powerhousebrasil.com.br/categoria-produto/scicon-gravtah/pneus-mtb/,draft
